message_id,sent_time,messages_sent_in_day
1970268.0,2017-04-05,1.2
2298946.0,2017-05-29,3
2575515.0,2017-07-13,2.2
2610242.0,2017-07-17,2.2
2926234.0,2017-08-20,1.2
3110458.0,2017-09-06,2.2
3130002.0,2017-09-08,2.2
3255637.0,2017-09-18,2
3387239.0,2017-09-29,1.2
3447200.0,2017-10-03,1.2
3861761.0,2017-11-05,2.2
3949012.0,2017-11-12,1.2
4082149.0,2017-11-21,2.2
4155079.0,2017-11-27,2.2
4214299.0,2017-12-03,2.2
4348242.0,2017-12-12,1.2
4374202.0,2017-12-15,2.2
4384330.0,2017-12-16,2.2
4495880.0,2017-12-26,.1
4569256.0,2017-01-01,2.2
4583204.0,2017-01-02,2.2
4621515.0,2017-01-04,3
4678673.0,2017-01-07,2.2
4743194.0,2017-01-10,2.2
4761212.0,2017-01-11,1.2
4831117.0,2017-01-14,1.7
4882719.0,2017-01-17,1.2
4993390.0,2017-01-23,2.2
5025999.0,2017-01-24,2
5116854.0,2017-01-29,2.2
5245310.0,2017-02-05,2.2
5322663.0,2017-02-09,1.2
5359655.0,2017-02-11,1
5796069.0,2017-03-01,2.2
5851670.0,2017-03-04,2.2
5851896.0,2017-03-05,1.2
5853612.0,2017-03-06,1.1
5948879.0,2017-03-07,1.9
6023444.0,2017-03-11,1.2
6090357.0,2017-03-14,1.2
6144796.0,2017-03-16,1.2
6174973.0,2017-03-18,1.2
6323260.0,2017-03-25,1.2
6366507.0,2017-03-27,.2
6534141.0,2017-04-02,1.2
6616172.0,2017-04-06,1.2
6688595.0,2017-04-08,1.2
6922048.0,2017-04-18,1.2
7041460.0,2017-04-23,1.2
7067217.0,2017-04-24,1.2
7096079.0,2017-04-25,1.2
7300262.0,2017-05-03,1.2
7336120.0,2017-05-05,1.2
7398366.0,2017-05-07,1.2
7599527.0,2017-05-11,1.2
7604054.0,2017-05-15,2
7625589.0,2017-05-16,1.2
7648767.0,2017-05-17,1.2	
7655490.0,2017-05-18,2
7656367.0,2017-05-19,1
7741827.0,2017-05-21,1.2
7759564.0,2017-05-24,2
7796184.0,2017-05-25,1.2
7796654.0,2017-05-26,2
7824266.0,2017-05-27,1.2
7832111.0,2017-05-28,.2
7835265.0,2017-05-29,2
8042720.0,2017-06-02,1.2
8153484.0,2017-06-06,1.2
8155267.0,2017-06-06,2
8168868.0,2017-06-07,1.2
8294471.0,2017-06-12,1.2
8339875.0,2017-06-14,1.2
8394042.0,2017-06-16,1.2
8471153.0,2017-06-19,1.2
8590893.0,2017-06-24,1.2
8623911.0,2017-06-25,1.2
8693067.0,2017-06-27,1.2
8694404.0,2017-06-28,2
8723754.0,2017-06-29,1.2
8746370.0,2017-06-30,1.2
8837073.0,2017-07-03,1.2
8865344.0,2017-07-04,.2
8941709.0,2017-07-08,1.2
8994291.0,2017-07-09,1.2
9128987.0,2017-07-14,1.2
9159831.0,2017-07-15,1.2
9204944.0,2017-07-16,1.2
9210923.0,2017-07-17,1.2
9266018.0,2017-07-18,1.2
9266231.0,2017-07-19,2
9324786.0,2017-07-21,1.2
9341950.0,2017-07-23,2
9486548.0,2017-07-25,1.2
9588570.0,2017-07-26,1.2
9592865.0,2017-07-27,2
9593086.0,2017-07-28,1
9623321.0,2017-07-30,1.2
9688607.0,2017-08-01,1.2
9707213.0,2017-08-02,2
9788944.0,2017-08-04,1.2
9936524.0,2017-08-09,1.2
10008718.0,2017-08-11,1.2
10010036.0,2017-08-12,1.2
10013367.0,2017-08-13,2
10092951.0,2017-08-14,1.2
10180489.0,2017-08-17,1.2
10263094.0,2017-08-19,1.2
10286186.0,2017-08-20,1.2
10323615.0,2017-08-21,1.2
10324019.0,2017-08-22,2
10337486.0,2017-08-23,1
10538427.0,2017-08-28,1.2
10544930.0,2017-08-29,2
10636490.0,2017-09-01,1.2
10662893.0,2017-09-02,1.2
10689638.0,2017-09-03,.2
10720808.0,2017-09-04,1.2
10727816.0,2017-09-05,2
10827838.0,2017-09-06,1.2
10868207.0,2017-09-08,1.2
10901991.0,2017-09-09,1.2
10902800.0,2017-09-10,2
11042358.0,2017-09-13,1.2
11067087.0,2017-09-14,1.2
11092456.0,2017-09-15,1.2
11095545.0,2017-09-16,2
11112536.0,2017-09-17,1
11155241.0,2017-09-18,1.2
11200021.0,2017-09-18,1.2
11330013.0,2017-09-22,1.2
11396324.0,2017-09-24,1.2
11438062.0,2017-09-25,1.2
11497501.0,2017-09-27,1.2
11523569.0,2017-09-28,1.2
11577380.0,2017-09-30,1.2
11643442.0,2017-10-02,1.2
11675126.0,2017-10-02,2
11686638.0,2017-10-03,1.2
11761527.0,2017-10-06,1.2
11797089.0,2017-10-07,1.2
11806540.0,2017-10-07,2
11890577.0,2017-10-10,1.2
11913225.0,2017-10-10,2
11925201.0,2017-10-11,1.2
12054268.0,2017-10-15,1.2
12109954.0,2017-10-17,1.2
12287440.0,2017-10-23,1.2
12299908.0,2017-10-23,2
12338351.0,2017-10-24,1.2
12479671.0,2017-10-29,1.2
12493743.0,2017-10-29,2
12599551.0,2017-11-02,1.2
12640897.0,2017-11-03,1.2
12652971.0,2017-11-04,1.2
12721270.0,2017-11-06,1.2
12772615.0,2017-11-07,1.2
12824087.0,2017-11-09,1.2
12883125.0,2017-11-10,1.2
12929179.0,2017-11-11,1.2
12950733.0,2017-11-12,2
12981403.0,2017-11-13,1.2
12985451.0,2017-11-13,2
13013572.0,2017-11-14,1.2
13049151.0,2017-11-15,1.2
13158802.0,2017-11-19,1.2
13164116.0,2017-11-19,2
13305423.0,2017-11-24,.3
13379133.0,2017-11-26,1.2
13396485.0,2017-11-27,1.2
13417044.0,2017-11-29,1.2
13458111.0,2017-12-01,1.2
13471784.0,2017-12-01,2
13550106.0,2017-12-03,1.2
13603989.0,2017-12-04,1.2
13616791.0,2017-12-05,1.2
13641139.0,2017-12-06,1.2
13764774.0,2017-12-10,1.2
13770570.0,2017-12-10,2
13817837.0,2017-12-11,1.2
13827630.0,2017-12-12,1.2
13844164.0,2017-12-12,2
13844618.0,2017-12-12,1
13900230.0,2017-12-15,1.2
13955071.0,2017-12-16,1.2
14004909.0,2017-12-18,1.2
14010194.0,2017-12-18,2
14078099.0,2017-12-21,1.2
14218315.0,2017-12-28,.2

